Unnamed: 0,B07YK2L7CW,Clothing & Accessories > Women > Ethnic Wear > Chunnis & Dupattas,Traditions Bazaar Art Silk Solid Color Women Dupatta,999,299.00,FREE delivery,Unnamed: 7,3.8,0.0,350 ratings,Unnamed: 11,Unnamed: 12,Unnamed: 13,225 x 100 x 0.1 cm,D-MC,Unnamed: 16,27 September 2019,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,https://m.media-amazon.com/images/I/41aHwakY0CL.jpg,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,https://www.amazon.in/Traditions-Bazaar-Banarasi-Solid-Dupatta/dp/B07YK2T13C,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,"Tuesday, 27 February"," 
 This beautiful solid coloured banarasi dupatta with zari border on four sides is perfect for all occasions  ",StoreName,Asin,Category,Title,MRP,Price,ShippingPrice,Manufacturer,StarRating,IsPrime,CustomerReview,Weight,Color,Size,PackageDimensions,ItemModelNumber,Department,DateFirstAvailable,BestSellersRank1,BestSellersRank2,BestSellersRank3,BulletPoint1,BulletPoint2,BulletPoint3,BulletPoint4,BulletPoint5,BulletPoint6,BulletPoint7,BulletPoint8,BulletPoint9,BulletPoint10,ImageURL1,ImageURL2,ImageURL3,ImageURL4,ImageURL5,ImageURL6,ImageURL7,ImageURL8,ImageURL9,ImageURL10,ProductUrl,VedioLink1,VedioLink2,VedioLink3,VedioLink4,DeliveryTime,Description
ETrade Online,B0BC14C1BX,Home & Kitchen > Home Furnishing > Bedding & Linen > Comforters & Sets > Comforters,"BSB HOME® 2nd Gen 220 GSM Microfiber Reversible AC Comforter/Blanket for Winter/Quilt/Duvets for King Size Double Bed (230X250 cm, Mint Green)","2,499",759.00,FREE delivery,‎BSB HOME,3.6,0.0,22 ratings,‎1750 Grams,,,,,,26 August 2022,"131,323 in Home & Kitchen (See Top 100 in Home & Kitchen)",285 inBedding Comforters,,Package Contents: 1 Double Bed AC Comforter Filled With Ultra-Soft Microfiber.,"Fabric: Glace Cotton, Size : King Size Double, Soft, Cosy and Light Weight, NO Colour Fading and Suitable for all Weather/ Season.","Used As Comforter ll Duvet ll Blanket and Colour fade resistant And Suitable for all-season use, Well finished, Quality Stitch, Soft to Touch, Light Weight.",Reversible Double Bed Comforter with 120 GSM Microfiber Filling | Ideal for Everyday Use. Machine stitched pattern to keep the filling in place for durability,Microfiber long lasting material. Perfect peice for tropical climate and Air Conditioned Room temperature,,,,,,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX355_.jpg,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX450_.jpg,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX522_.jpg,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX569_.jpg,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX679_.jpg,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX425_.jpg,https://m.media-amazon.com/images/I/61T9SocYZ3L._SX466_.jpg,,,,https://www.amazon.in/BSB-Microfiber-Reversible-Double-Bed/dp/B0BC14C1BX,,,,,"Thursday, 29 February","BSB HOME® 2nd Gen 220 GSM Microfiber Reversible AC Comforter/Blanket for Winter/Quilt/Duvets for King Size Double Bed (230X250 cm, Mint Green) : Amazon.in: Home & Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocoblu Retail,B0CN91RLF6,Shoes & Handbags > Shoes > Men's Shoes > Casual Shoes,U.S. POLO ASSN. Mens Santos 2.0 Sneaker,"3,399","2,141.00",FREE delivery,,4.2,0.0,42 ratings,,,,35.3 x 22.6 x 13.7 cm,,,14 November 2023,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41N74k9f6OL.jpg,,,,,,,,,,https://www.amazon.in/U-S-POLO-ASSN-Santos-Sneaker/dp/B0CNJDG3LQ,,,,,"Wednesday, 28 February"," 
 U.S. Polo Assn. Santos 2.0 Men Tan Sneakers -(UK11)(US12)(2FD23574K06)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivid Vision International,B08PRYSFG9,Clothing & Accessories > Men > Sunglasses & Spectacle Frames > Glasses Cases,VIVID VividVisionInt® Unisex Hard Shell Protective Case for Eyewear Spectacles For Men and Women MC-281,799,349.00,FREE delivery,,4.2,0.0,191 ratings,,,,21.5 x 10.7 x 8 cm,,,6 November 2020,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/31Iy1+9UX-L.jpg,,,,,,,,,,https://www.amazon.in/VividVisionInt%C2%AE-Protective-Eyewear-Spectacles-IC-624-Case/dp/B099ZPPY5S,,,,,"Wednesday, 28 February",VIVID VividVisionInt® Hard Shell Protective Eyewear Case | Unisex Case Cover For Spectacles and Sunglasses | MC-281 Black : Amazon.in: Fashion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bembika,B0C38WQP1N,Baby > Carriers & Accessories > Baby Slings,"Bembika Baby Essential Hands Free Baby Carrier Wrap Breathable Lightweight Baby Wrap Carrier Cloth Suitable for Newborn, Infants � (Blue)","1,599","1,099.00",FREE delivery,‎Bembika,3.4,0.0,23 ratings,‎580 g,,,,,,22 April 2023,"2,857 in Baby Products (See Top 100 in Baby Products)",11 inBaby Slings,,"PACKAGE INCLUDES: A Baby Carrier Cloth Wrap Is A Popular Option For Parents Who Want To Keep Their Little Ones Close And Secure While Also Having Their Hands Free.1 Pc Baby Carrier Wrap Included In This Package. Dimension-L=546 cm, B=60 cm, Weight=545 Gram.",PREMIUM QUALITY MATERIAL: A Stretchy Wrap Baby Carrier Cloth Is A Specific Type Of Cloth Wrap That Is Made From A Stretchy Material. This Allows For A Snug Fit And Helps To Distribute The Baby'S Weight Evenly Across The Wearer'S Body.,CONVENIENT FOR BABY AND PARENTS: The Baby Wrap Carrier Cloth Is A Particular Kind Of Baby Wrap Carrier That Has Been Designed To Offer Comfort And Convenience For Both The Parent And The Baby. Many Parents Prefer The Baby Wrap Carrier For Newborn Cloth Because It Offers A Secure And Cozy Environment For The Baby During Those Early Months.,"EASY TO USE: A Baby Carrier Sling Wrap Is A Combination Of A Sling And A Cloth Wrap. It Typically Has Two Loops Of Fabric That Cross Over The Wearer'S Chest And Back, With The Baby Resting In The Pouch Created By The Fabric.","SATISFACTION GUARANTEE: A Baby Wrap Carrier Sling Is A Versatile Option For Parents Who Want To Keep Their Baby Close While Still Being Able To Go About Their Daily Activities. If You Require Any Additional Support, Please Don’T Hesitate To Get In Touch With Our Team, Who Will Be Happy To Provide Assistance.",,,,,,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SX425_.jpg,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SY355_.jpg,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SX522_.jpg,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SX569_.jpg,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SX466_.jpg,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SX679_.jpg,https://m.media-amazon.com/images/I/71qU9Q5YWqL._SY450_.jpg,,,,https://www.amazon.in/Bembika-Essential-Breathable-Lightweight-Suitable/dp/B0C38WQP1N,,,,,"Thursday, 29 February"," 
 Bembika Baby Carrier Wrap, You Can Enjoy Hands-Free Parenting, Allowing You To Get Things Done While Still Keeping Your Baby Close. The Wrap Distributes Your Baby'S Weight Evenly Across Your Body, Reducing Strain On Your Back And Shoulders. Stretchy Wrap Baby Carrier Cloth Is A Versatile, Comfortable, And Practical Solution For Parents Who Want To Keep Their Baby Close While On-The-Go. Whether You'Re Running Errands Or Enjoying A Leisurely Walk, Our Baby Carrier Cloth Wrap Will Keep Your Little One Safe, Snug, And Happy.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocoblu Retail,B096BFTW64,Shoes & Handbags > Shoes,Bata Men's Leather Flat Mojari,799,679.00,FREE delivery,,3.8,0.0,"1,030 ratings",,,,35 x 19 x 12 cm,,,1 June 2021,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/31jqYQflYyL.jpg,,,,,,,,,,https://www.amazon.in/BATA-Mens-Jalsa-Leather-Sneaker/dp/B0B5T2F9RW,,,,,"Saturday, 2 March"," 
 Your Perfect Footwear Companion, most trusted brand, with trendy varietes  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Pixel Perfect,B0BNQY2T94,"Office Products > Calendars, Planners & Personal Organisers > Desktop Calendars & Supplies > Desktop Calendars",INNAXA 2024 Desk Calendar | Monthly calendar | Desk planner | Notes | (Maroon),399,259.00,FREE delivery,‎A Pixel Perfect,4.4,0.0,"1,037 ratings",130 g,,,,,,1 December 2022,106 in Office Products (See Top 100 in Office Products),"4 inCalendars, Planners & Personal Organisers",,,,,,,,,,,,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX679_.jpg,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX466_.jpg,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX450_.jpg,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX425_.jpg,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX522_.jpg,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX569_.jpg,https://m.media-amazon.com/images/I/81Gx1CYM1zL._SX355_.jpg,,,,https://www.amazon.in/INNAXA-Calendar-Monthly-calendar-planner/dp/B0BNQY2T94,,,,,"Wednesday, 28 February"," 
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion Dream Rd,B09XK355WF,Clothing & Accessories > Girls > Dresses & Jumpsuits > Dresses,Fashion Dream Girls Maxi Length Flared Dress,"3,499",809.00,FREE delivery,,3.8,0.0,"1,386 ratings",,,,27.8 x 23.3 x 6.1 cm,GMD0031-DRK-GRN_24,,8 April 2022,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/31g49njNlpL.jpg,,,,,,,,,,https://www.amazon.in/Fashion-Dream-Girls-Length-Flared/dp/B0CKRQG1QL,,,,,"Tuesday, 27 February"," 
 Spruce up your girls wardrobe with this maxi dress from Fashion Dream on Amazon. This ruffled dress is perfect for a party, day out with friends or night of get-togethers. Presenting a light blue digital floral printed tabby silk gown, featured v neckline with ruffle detailing yoke till natural waist-length followed by medium flare to floor-length, comes with self-fabric belt on back. This maxi dress has cancan attached with lining material that give volumetric flare to this dress. This beautiful designer girl’s maxi dress is a perfect fit for all parties & occasion where you want to show your special appearance. Pair it with well-defined eyes and minimal jewellery to bring out the best in you!  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocoblu Retail,B0CG39R957,Computers & Accessories > Accessories & Peripherals > Cables & Accessories > Cables > USB Cables,"Portronics Konnect 4 IN 1 Unbreakable Nylon Braided Multi Functional Fast Charging Cable with Fast Data Transfer,Compatible with All Type C Android Smartphone & Lighting Device etc.(Black)",999,299.00,FREE delivery,‎Portronics Digital Pvt Ltd,4.1,0.0,245 ratings,‎20 Grams,,,,,,19 August 2023,155 in Computers & Accessories (See Top 100 in Computers & Accessories),31 inUSB Cables,,"Four Charging Modes in One Cable: Experience the convenience of one cable with four charging modes. Switch between Type C to Lightning, USB to Lightning, Type C to Type C, and USB to Type C.","60W Max Power Delivery: This 4 in 1 Charging Cable with metal heads supports up to 60W max Power Delivery (Type C to Type C charging), ensuring your devices charge quickly and efficiently.","Versatile 4 in 1 Cable: One cable for Lightning mobiles, AirPods, android phones, MacBooks, iPads, earbuds, chargers, car chargers, laptops, and power banks. Your go-to charging solution.","1-Meter Nylon Braided Cable: Our 1-meter nylon braided multifunctional cable is built to withstand wear and tear, offering a tangle-free experience while providing exceptional durability.","Fast Charging Capabilities: With 12W USB to Lightning, 20W Type-C to Lightning, 30W USB to Type-C, and 60W Type-C to Type-C Fast Charging, your devices will be ready to use in no time.","High-Speed Data Transfer: Need to transfer files quickly? Enjoy data speeds of up to 480 Mbps, enabling swift and seamless data transfers between your devices.","Unique Design: Smooth changing between charging modes. The unique design of the multiuse cable allows for easy switching, making charging your USB, Lightning, and Type C port devices a breeze.",,,,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX342_.jpg,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX466_.jpg,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX385_.jpg,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX569_.jpg,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX522_.jpg,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX425_.jpg,https://m.media-amazon.com/images/I/51xBoyVLWwL._SX679_.jpg,,,,https://www.amazon.in/Portronics-Unbreakable-Functional-Compatible-Smartphone/dp/B0CG39R957,,,,,"Tuesday, 27 February","Portronics Konnect 4 IN 1 Unbreakable Nylon Braided Multi Functional Fast Charging Cable with Fast Data Transfer,Compatible with All Type C Android Smartphone & Lighting Device etc.(Black) : Amazon.in: Computers & Accessories"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appario Retail Private Ltd,B07GFDHHXB,"Computers & Accessories > Accessories & Peripherals > Tablet Accessories > Bags,Cases & Sleeves > Cases",Robustrion Smart 360 Degree Rotating Stand Case Cover for New iPad 9.7 inch 2018/2017 5th 6th Generation Model A1822 A1823 A1893 A1954 & ipad Air 2013 A1474 A1475 A1476 A1566 A1567 - Black,"1,999",499.00,FREE delivery,"‎Robustrion, Rush4Toys, 71 Mayur Vihar, Dehradun",4.0,0.0,"3,638 ratings",‎220 g,,,,,,6 November 2017,"12,088 in Electronics (See Top 100 in Electronics)",274 inTablet Cases,,Designed exclusively for new iPad 2017/2018 9.7 inch (A1822/A1823/A1893/A1954) & ipad Air 2013 (A1474/A1475/A1476/A1566/1567) (Not compatible with any other devices),Innovative rotating 360 degree ipad case for flexible viewing both in landscape and portrait mode.,"Lightweight case offers complete protection for your new iPad 2017/2018 9.7 inch against damage, dust and scratches without adding weight",The sleek back seethrough hole allows you to see the beautiful Apple icon.,"Full access to camera, speaker, ports and buttons due to our classic and professional design",,,,,,https://m.media-amazon.com/images/I/514iYynya5L.jpg,https://m.media-amazon.com/images/I/514iYynya5L._SX466_.jpg,https://m.media-amazon.com/images/I/514iYynya5L._SX425_.jpg,https://m.media-amazon.com/images/I/514iYynya5L._SY355_.jpg,https://m.media-amazon.com/images/I/514iYynya5L._SY450_.jpg,,,,,,https://www.amazon.in/Robustrion-Smart-Degree-Rotating-Generation/dp/B0778FMKK3,,,,,"Tuesday, 27 February",Robustrion Smart 360 Degree Rotating Stand Case Cover for New iPad 9.7 inch 2018/2017 5th 6th Generation Model A1822 A1823 A1893 A1954 & ipad Air 2013 A1474 A1475 A1476 A1566 A1567 - Black : Amazon.in: Computers & Accessories
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRESH FROM LOOM,B0BSHB656K,Home & Kitchen > Home Furnishing > Cushions & Cushion Covers > Cushion Covers,"FRESH FROM LOOM Jacquard Soft Velvet Cushion Covers | Hypo-Allergenic | Washable | Non-Fade Diwan Sofa Pillow Covers for Home (Size - 24 x 24 Inch, Color - Beige) - Set of 5pc","2,499","1,184.00",FREE delivery,"‎Fresh From Loom , Panipat, Haryana, 132103, Freshfromloom@gmail.com, Whatsapp 9802230070",4.3,0.0,327 ratings,1 kg 140 g,,,,,,17 January 2023,"12,479 in Home & Kitchen (See Top 100 in Home & Kitchen)",69 inCushion Covers,,Package content: Set of 5 cushion covers (without fillers).,Size - 24 x 24 inch or 60.96 x 60.96 cm,"Wash Car: Normal Hand/Machine wash, Do not use Strong Detergent or Bleach","Firstly, Open Up The Package And Unzip The Cover. Then When You Start To Stuff Your CUSHION Into The Cover, You Need To Fold The Insert. After Part Of Your Folded CUSHION Is Stuffed In The Cover, You Should Put The Left Part Of The CUSHION Slowly To Reduce The Risk Of Zipper Split. Then You Can Tide Up The Corner Of The CUSHION. Finally, You Zip Up The Cover. Now You Have A Plump CUSHION!",,,,,,,https://m.media-amazon.com/images/I/81wm3MoTMKL._SY450_.jpg,https://m.media-amazon.com/images/I/81wm3MoTMKL._SX679_.jpg,https://m.media-amazon.com/images/I/81wm3MoTMKL._SX522_.jpg,https://m.media-amazon.com/images/I/81wm3MoTMKL._SX569_.jpg,https://m.media-amazon.com/images/I/81wm3MoTMKL._SX466_.jpg,https://m.media-amazon.com/images/I/81wm3MoTMKL._SY355_.jpg,https://m.media-amazon.com/images/I/81wm3MoTMKL._SX425_.jpg,,,,https://www.amazon.in/FRESH-LOOM-Cushion-Covers-Hypo-Allergenic/dp/B0BSHB656K,,,,,"Friday, 1 March"," 
 Cushion Cover 24x24 Set of 5 Decorative Designer Flower Digital Print Traditional Ethnic Sofa Throw Pillow Cushion Covers 24x24 Set of 5 for Sofa Cushions. Cushion Covers 16 Inch x 16 Inch or 40cm x 40cm for Home. Color: Yellow Red Orange Grey Grey Grey Grey Blue Black Brown off white Pink Brown Cushion Covers We use luxury soft fabrics for all our cushion covers and custom manufactured in India. FEATURES: Overlap backing with a concealed zipper, Perfectly tailored, Design crafted on front and a plain colour back side . Package contents: Set of 5 cushion covers (without fillers). Check out other product of Fresh From Loom  "
